model,n_train,k,maxiter,precision,r2_real,r2_log,mae,rmse,mape,std_ratio_real,r_real,pred_min_real,pred_max_real,std_ratio_log,r_log,pred_min_log,pred_max_log,selected_seed,restart_objectives,restart_evals,hit_cap_any,selected
VQR,800,4,300,0.0,-0.06690452070381014,-0.3732199112361385,1.0119983238299126,2.1173306985003175,149.86689279238627,0.270900270010076,0.012042482176754153,0.37470891115763005,3.1270559347765694,0.5317981374006621,-0.03328284021534446,0.31824200773045075,1.4175643040531005,0,"{0: 0.167201, 1: 0.181769, 2: 0.18765}","{0: 300, 1: 300, 2: 300}",True,discount;avg_temperature;day_cos;month_cos
VQR,800,5,300,0.0,-0.07075556048817089,-0.47549277349374375,1.1085750447911116,2.1211485565460446,192.33603212935094,0.18113201692175102,-0.039999894652512726,0.5021106359852157,3.2284905723009576,0.3297487624162206,-0.03713364700279548,0.4068712097405725,1.4418450906765707,2,"{0: 0.21109, 1: 0.224498, 2: 0.215341}","{0: 300, 1: 300, 2: 300}",True,discount;avg_temperature;day_sin;day_cos;month_cos
