n_train,k,winsorize,protocol,r2_real,r2_log,mae,rmse,std_ratio,r,pred_max,clip_threshold,rows_clipped,selected
50000,15,True,Q,0.20413937437637264,0.12137492110585812,0.7594329628057956,1.8287082580507683,0.22795639258157685,0.6417709840515203,7.089962959289551,5.8,485,discount;holiday_flag;activity_flag;precpt;avg_temperature;avg_humidity;avg_wind_level;day_sin;day_cos;day_sin_month;day_cos_month;month_sin;month_cos;bad_weather;is_weekend
50000,15,False,P,0.4019044550853854,0.15075792934183796,0.7299132760565757,1.5852990534708733,0.4111444904008225,0.7343911327660789,17.68781089782715,,0,discount;holiday_flag;activity_flag;precpt;avg_temperature;avg_humidity;avg_wind_level;day_sin;day_cos;day_sin_month;day_cos_month;month_sin;month_cos;bad_weather;is_weekend
1000,4,True,Q,0.08422522478792316,-0.24243084758388944,0.9035680089857911,1.9616442744398497,0.3877619736707454,0.3396851736733359,7.569845199584961,6.5049999999999955,10,discount;activity_flag;avg_humidity;day_sin
1000,4,False,P,0.23972891156220733,-0.2425143449207523,0.8914254457260111,1.787352262195914,0.5423190571617619,0.5121519554921015,20.109498977661133,,0,discount;activity_flag;avg_humidity;day_sin
