model,n_train,k,r2_real,r2_log,mae,rmse,mape,std_ratio_real,r_real,std_ratio_log,r_log,winsor_clip,winsor_rows,selected
XGBoost,1000,4,0.09089037077547268,-0.22058152157814037,0.8969832934974554,1.9544926676282859,101.47969587303203,0.3816932197700414,0.3460651493649318,0.6566278999515888,0.18424163547550257,6.5049999999999955,10,discount;activity_flag;avg_humidity;day_sin
XGBoost,1000,6,0.13724742649170685,0.012793521689966947,0.7963939037012935,1.9040092253372733,80.87392738143717,0.219890609209976,0.522044506527006,0.44101778718355994,0.28847683237862765,6.5049999999999955,10,discount;activity_flag;avg_temperature;avg_humidity;day_sin;day_cos_month
XGBoost,1000,8,0.13671921926118968,0.0244600206971487,0.783634200814712,1.9045919865974918,75.59830247458864,0.20373163710456813,0.5659250339731082,0.38633672689651777,0.3103137274999094,6.5049999999999955,10,discount;activity_flag;avg_temperature;avg_humidity;avg_wind_level;day_sin;day_cos_month;month_sin
XGBoost,1000,12,0.1580982125995707,0.052522405320083454,0.7840298033431947,1.8808607011831757,81.07305662474572,0.21464788345733893,0.5669225069760694,0.4029873526019879,0.3070476539056679,6.5049999999999955,10,discount;activity_flag;avg_temperature;avg_humidity;avg_wind_level;day_sin;day_cos;day_cos_month;month_sin;month_cos;bad_weather;is_weekend
XGBoost,1000,15,0.14590020765161504,0.040654593553197116,0.780918872163701,1.894437250637394,76.57547938725577,0.20459226724841795,0.5780486142018489,0.3757606331539805,0.31521508874274623,6.5049999999999955,10,discount;holiday_flag;activity_flag;precpt;avg_temperature;avg_humidity;avg_wind_level;day_sin;day_cos;day_sin_month;day_cos_month;month_sin;month_cos;bad_weather;is_weekend
XGBoost,50000,4,0.1645134307756022,0.08541331985982603,0.7720015104291916,1.8736810006234002,81.91807159301513,0.20397949207268004,0.5958527163880657,0.3634492618219054,0.33412498120597756,5.8,485,discount;precpt;avg_humidity;bad_weather
XGBoost,50000,6,0.1843564395554239,0.11782216283840863,0.7589107981921911,1.8512971070083348,78.19017148197335,0.20621315267103987,0.6412471330694498,0.3655025930016427,0.38063077098256826,5.8,485,discount;activity_flag;precpt;avg_humidity;bad_weather;is_weekend
XGBoost,50000,8,0.20636534439349397,0.11043008717666836,0.7628751380000591,1.8261490787523065,79.59410522857526,0.23204630486715055,0.6405338532660003,0.4053788518258995,0.37404971513611346,5.8,485,discount;activity_flag;precpt;avg_temperature;avg_humidity;day_sin;bad_weather;is_weekend
XGBoost,50000,12,0.20322381894022457,0.12799651790128397,0.7605340208489181,1.829759825678965,82.58811061119107,0.2214083283460117,0.6408431259298039,0.3804068731972659,0.37939638264289327,5.8,485,discount;activity_flag;precpt;avg_temperature;avg_humidity;day_sin;day_cos;day_sin_month;day_cos_month;month_sin;bad_weather;is_weekend
XGBoost,50000,15,0.20031640521911487,0.11680949434275767,0.760087716072011,1.8330951567112534,79.18164414292434,0.22762895302316435,0.6350844102733267,0.40539989412948113,0.3815514079807167,5.8,485,discount;holiday_flag;activity_flag;precpt;avg_temperature;avg_humidity;avg_wind_level;day_sin;day_cos;day_sin_month;day_cos_month;month_sin;month_cos;bad_weather;is_weekend
